path	bucket	owner_phase	disposition
.nimi/spec/avatar/kernel/nimi2d-backend-contract.md	active_non_materialization_realm_consumer	N1/A1	BLOCKED_outside_authorized_spec_write_domain_but_active_persona_vocabulary
.nimi/spec/avatar/kernel/nimi2d-live-action-bench-contract.md	active_non_materialization_realm_consumer	N1/A1	BLOCKED_outside_authorized_spec_write_domain_but_active_persona_vocabulary
.nimi/spec/desktop/kernel/agent-avatar-surface-contract.md	active_materialization_truth	N1	hardcut_desktop_materialization_authority_to_v3_intent_and_persona_character
.nimi/spec/desktop/kernel/explore-surface-contract.md	active_materialization_truth	N1	hardcut_desktop_materialization_authority_to_v3_intent_and_persona_character
.nimi/spec/desktop/kernel/home-feed-contract.md	active_non_materialization_realm_consumer	N1	hardcut_desktop_persona_vocabulary_to_persona_character
.nimi/spec/desktop/kernel/index.md	active_materialization_truth	N1	hardcut_desktop_materialization_authority_to_v3_intent_and_persona_character
.nimi/spec/desktop/kernel/relationship-profile-surface-contract.md	active_materialization_truth	N1	hardcut_desktop_materialization_authority_to_v3_intent_and_persona_character
.nimi/spec/desktop/kernel/tables/explore-sections.yaml	active_non_materialization_realm_consumer	N1	hardcut_desktop_persona_vocabulary_to_persona_character
.nimi/spec/desktop/kernel/tables/home-feed-scopes.yaml	active_non_materialization_realm_consumer	N1	hardcut_desktop_persona_vocabulary_to_persona_character
.nimi/spec/desktop/kernel/tables/realm-source-materialization-actions.yaml	active_materialization_truth	N1	hardcut_desktop_materialization_authority_to_v3_intent_and_persona_character
.nimi/spec/desktop/kernel/tables/rule-evidence.rules-shell-ui.yaml	active_materialization_truth	N1	hardcut_desktop_materialization_authority_to_v3_intent_and_persona_character
.nimi/spec/nimi2d/kernel/generation-bench-contract.md	active_non_materialization_realm_consumer	N1/A1	BLOCKED_outside_authorized_spec_write_domain_but_active_persona_vocabulary
.nimi/spec/platform/kernel/tables/release-promise-freeze.yaml	active_materialization_truth	N1/A1	BLOCKED_read_only_spec_domain_contains_active_legacy_materialization_vocabulary
.nimi/spec/platform/kernel/tables/test-governance-policy.yaml	active_materialization_truth	N1/A1	BLOCKED_read_only_spec_domain_contains_active_legacy_materialization_vocabulary
.nimi/spec/platform/kernel/test-governance-contract.md	active_materialization_truth	N1/A1	BLOCKED_read_only_spec_domain_contains_active_legacy_materialization_vocabulary
